MSGIO_L2C_CTR || Represents the radiative temperature (in Kelvin) of the uppermost cloud layer.
3SIMG_L2G_GPI || Rainfall from INSAT-3S Imager channels is derived based on two methodologies: (i) Rainfall Estimation by GOES Precipitation Index (GPI) (ii) INSAT Multispectral Rainfall Algorithm . 
3SIMG_L2G_AOD || The AOD product provides the aerosol optical thickness, at 650 nm and 4 Km spatial resolution over both land and ocean surfaces with root mean square (RMS) error of Â±0.1.
3SIMG_L2C_INS || INSAT-3S derived INSOLATION
3SIMG_L2C_FOG || Night time FOG is derived from TIR-1 and MIR channel brightness temperature over Indian region. However, for day time visible channel reflectance and TIR-1 channel brightness temperature has been used. The algorithm involves detection of different thresholds following an image based approach to detect FOG
3SIMG_L2C_SNW || Snow cover derived from IMAGER
3SIMG_L2C_CMP || Day-time cloud microphysical parameters from visible and SWIR channels of INSAT-3S imager
3SIMG_L2B_SST || Sea surface temperature is derived from split thermal window channels (TIR1, TIR2) during daytime and using additional mid IR window channel (MIR) during night time over cloud free oceanic regions. The most important part of the SST retrieval from IR observations is the atmospheric correction, especially over tropics. This correction is determined through a suitable characterization of tropical atmospheres in radiative transfer model to simulate the brightness temperatures of INSAT-3S channels a
3SIMG_L2B_OLR || Total outgoing longwave radiation (OLR) flux, thermally emitted from earth atmosphere system, is estimated by applying regression equation relating OLR flux with INSAT-3S Imager observed WV (6.7 Âµm) and thermal infrared (TIR-1 10.5 Âµm and TIR-2 11.5 Âµm) radiances. The coefficients of the regression equations are determined from results of the Radiative Transfer Model simulation with various atmospheric conditions
3SIMG_L2B_LST || Land surface temperature (LST) is a key parameter in the land surface processes. LST is very useful input to various models related to agrometeorology, ecology, hydrology and climate.
3SIMG_L2B_IMC || INSAT multispectral Rainfall Algorithm Technique (IMSRA) is one of the main operational rainfall retrieval algorithms for INSAT-3S. This algorithm estimates precipitation based on non-linear power law relationship established between infrared (IR) brightness temperatures (Tbs, 10.7 Âµm observations) and TRMM-PR surface rain rate.  Based on a number of case studies and research works carried out, a further refinement of the algorithm was made. 
3SIMG_L2B_HEM || This product is derived on the basis of Hydro-Estimator method. It measures precipitation over Indian Region encompassing area between longitudes 30Â°E -to130Â°E and latitudes 50Â°N- 50Â°S.
3SIMG_L2B_CTP || Cloud top properties derived using INSAT3S IMAGER
3SIMG_L2B_CMK || INSAT-3S VHRR measures radiances in one visible and one SWIR band at 1 km spatial resolution, one MIR and two TIR bands at 4 km resolution, and one WV band at 8 km resolution. Radiances from 3 IR spectral bands TIR-1 , TIR-2 and MIR which are of same resolution of 4km are used in the INSAT cloud mask algorithm to estimate whether a given view of the earth surface is unobstructed by clouds
3SIMG_L1C_ASIA_MER || IMAGER- 6 channel Level1 data in Mercator projection for Asian Sector
3SIMG_L1C_SGP || Level1 IMAGER 6 channel  data of TIR1, TIR2, WV, VIS, SWIR, MIR Bands in Mercator projection
3SIMG_L2B_UTH || Upper Tropospheric Humidity from IMAGER
3SIMG_L1B_STD || Level1 data for Imager 6 channels at half hour interval
E06OCM_L3C_LAC_AD || Daily Aerosol Optical Depth over Land
E06OCM_L4_AC || The Analyzed Chlorophyll products are generated by combining OCM-3 derived chlorophyll observations with coupled physical-biogeochemical model simulation of chlorophyll using particle filter based assimilation technique. The model utilized is MOM5, coupled with biogeochemical model TOPAZ.
MHS Level-3 || Gridded level3 Brightness temperature,specific humidity and integrated water vapoure derived using Microwave Humidity Sounder on board Microsat-2B 
E06SCT_L4_UI || Upwelling index over indian ocean
E06SCT_L4_AWV6HOURLY || Analyzed Winds are computed using Particle Filter Technique
MHS L2 || Geotagged level-2 specific humidity profile(20 layers),Average column integrated Water vapour(3 layers) derived using Microwave Humidity Sounder on board Microsat-2B
MHS L1 || Geotagged level-1 Brightness temperature product derived using Microwave Humidity Sounder on board Microsat-2B
E06SCT_L4_BT_SP || EOS-06 Scatterometer high resolution land product over South Pole generated using multiple L1B products using SIR Algorithm
E06SCT_L4_GAM_SP || EOS-06 Scatterometer high resolution land product over South Pole generated using multiple L1B products using SIR Algorithm
E06SCT_L4_SIG_SP || EOS-06 Scatterometer high resolution land product over South Pole generated using multiple L1B products using SIR Algorithm
E06SCT_L4_GAM_NP || EOS-06 Scatterometer high resolution land product over North Pole generated using multiple L1B products using SIR Algorithm
E06SCT_L4_BT_NP || EOS-06 Scatterometer high resolution land product over North Pole generated using multiple L1B products using SIR Algorithm
E06SCT_L4_SIG_NP || EOS-06 Scatterometer high resolution land product over North Pole generated using multiple L1B products using SIR Algorithm
E06SCT_L4_BT_GLB || EOS-06 Scatterometer high resolution land product over Full Globe generated using multiple L1B products using SIR Algorithm
E06SCT_L4_SIG_GLB || EOS-06 Scatterometer high resolution land product over Full Globe generated using multiple L1B products using SIR Algorithm
E06SCT_L4_BT_IND || EOS-06 Scatterometer high resolution land product over India generated using multiple L1B products using SIR Algorithm for HHASC, HHDES, HHBTH, VVASC, VVDES, VVBTH
E06SCT_L4_GAM_IND || EOS-06 Scatterometer high resolution land product over India generated using multiple L1B products using SIR Algorithm for HHASC, HHDES, HHBTH, VVASC, VVDES, VVBTH
E06SCT_L4_SIG_IND || EOS-06 Scatterometer high resolution land product over India generated using multiple L1B products using SIR Algorithm for HHASC, HHDES, HHBTH, VVASC, VVDES, VVBTH
E06SCT_L4_AWV25 || Analyzed Winds are computed using optimal interpolation. The wind derived products and fluxes are computed based on COREv3.0 bulk algorithms.
E06SCT_L3_SIG25_VV || EOS-06 Scatterometer L3 Product contains flagged sigma0s in global grid
E06SCT_L3_SIG12_VV || EOS-06 Scatterometer L3 Product contains flagged sigma0s in global grid
E06SCT_L3_SIG25_HH || EOS-06 Scatterometer L3 Product contains flagged sigma0s in global grid
E06SCT_L3_SIG12_HH || EOS-06 Scatterometer L3 Product contains flagged sigma0s in global grid
E06SCT_L3_WW25 || EOS-06 Scatterometer L3 Product contains flagged wind vectors in global grid
E06SCT_L3_WW12 || EOS-06 Scatterometer L3 Product contains flagged wind vectors in global grid
E06SCT_L2B_WV25 || EOS-06 Scatterometer L2B Product contains flagged wind vectors in swath grid
E06SCT_L2B_WV12 || EOS-06 Scatterometer L2B Product contains flagged wind vectors in swath grid
E06SCT_L2A_SIG25 || EOS-06 Scatterometer L2A Product contains flagged sigma0s in swath grid
E06SCT_L2A_SIG12 || EOS-06 Scatterometer L2A Product contains flagged sigma0s in swath grid
E06SCT_L1B_SIG || EOS-06 Scatterometer L1B Product contains time-ordered Earth-located sigma0s
RSSHR_L2B_STD || DWR Data for SHAR
RSCHR_L2B_STD || DWR Data for Cheerapunji
3DIMG_L3G_IMR_WKL || Weekly IMR product from INSAT3D
3DIMG_L3G_GPI_WKL || Weekly GPI product from INSAT3D
3DIMG_L3B_UTH_WKL || Weekly UTH product from INSAT3D
3DIMG_L3B_HEM_WKL || Weekly HEM product from INSAT3D
3DIMG_L3B_OLR_WKL || Weekly OLR product from INSAT3D
3DIMG_L3B_SST_WKL || Weekly SST product from INSAT3D
SRLOPR_F || Near Real Time- Reduced level2 product generated after every 100 minutes
SRLOPN_F || Near Real Time- Native product generated after every 100 minutes
SRLGPN_F || Fully validated offline Native product
SRLGPR_F || Fully validated offline Reduced product
SRLGPS_F || Fully validated offline Sensor product
SRLIPN_F || Interim Geo physical data record, Native product
SRLIPR_F || Interim Geo physical data record, Reduced product
SRLIPS_F || Interim Geo physical data record, Sensor product
S1SCT_L4_AWV625 || Analyzed Winds are computed using optimal interpolation. The wind derived products and fluxes are computed based on COREv3.0 bulk algorithms.
3RIMG_L2P_WV_MERGED || This product is amerged wind product using the algorithm for retrieving Atmospheric Motion Vectors (AMVs) from INSAT-3D and INSAT-3DR in staggering mode
3RIMG_L2P_IRW_MERGED || this porduct is a merged wind product using the algorithm for retrieving Atmospheric Motion Vectors (AMVs) from INSAT-3D and INSAT-3DR in staggering mode
3DIMG_L2P_WV_MERGED || This product is merged water vapour wind product using the algorithm for retrieving Atmospheric Motion Vectors (AMVs) from INSAT-3D and INSAT-3DR in staggering mode
3DIMG_L2P_IRW_MERGED || Product is a merged wind product derived using the algorithm for retrieving Atmospheric Motion Vectors (AMVs) from INSAT-3D and INSAT-3DR in staggering mode
3RIMG_L2B_CTP || Cloud top properties derived using INSAT3R IMAGER
3DIMG_L2B_CTP || Cloud top properties derived using INSAT3D IMAGER
S1SCT_L4_BT625_GLB || SCATSAT-1 high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT_L4_BT_SP || SCATSAT1 high resolution land product over South Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm
S1SCT_L4_GAM_SP || SCATSAT1 high resolution land product over South Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm
S1SCT_L4_SIG_SP || SCATSAT1 high resolution land product over South Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm
S1SCT_L4_GAM_NP || SCATSAT1 high resolution land product over North Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm
S1SCT_L4_BT_NP || SCATSAT1 high resolution land product over North Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm
S1SCT_L4_SIG_NP || SCATSAT1 high resolution land product over North Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm
S1SCT_L4_BT_GLB || SCATSAT-1 high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT_L4_GAM_GLB || SCATSAT-1 high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT_L4_SIG_GLB || SCATSAT-1 high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT_L4_BT_IND || SCATSAT-1 high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm for HHASC, HHDES, HHBTH, VVASC, VVDES, VVBTH
S1SCT_L4_GAM_IND || SCATSAT-1 high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm for HHASC, HHDES, HHBTH, VVASC, VVDES, VVBTH
S1SCT_L4_SIG_IND || SCATSAT-1 high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm for HHASC, HHDES, HHBTH, VVASC, VVDES, VVBTH
3DIMG_L2C_DST || Dust Product from Imager
S1SCT_L3_BT25 || Scatterometer L3 Product contains Brightness Temperature in global grid
S1SCT_L4_UI || Upwelling index over indian ocean
3RSND_L2B_SA2 || Sounder Level2 data for A2 sector
3RSND_L1B_SA2 || Sounder Level1 data for A2 sector
3RIMG_L3C_INS_DLY || INSAT-3DR derived INSOLATION
3DIMG_L3C_INS_DLY || INSAT-3D derived INSOLATION
S1SCT_L3_IC || Sea Ice cover
S1SCT-BTL4-HHBOTH-GLB || SCATSAT-1 HH BOTH high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-GAML4-HHBOTH-GLB || SCATSAT-1 HH BOTH high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-BTL4-VVBOTH-GLB || SCATSAT-1 VV BOTH high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-GAML4-VVBOTH-GLB || SCATSAT-1 VV BOTH high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-BTL4-HHASC-GLB || SCATSAT-1 HH ASC high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-GAML4-HHASC-GLB || SCATSAT-1 HH ASC high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-BTL4-VVASC-GLB || SCATSAT-1 VV ASC high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-GAML4-VVASC-GLB || SCATSAT-1 VV ASC high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-BTL4-HHDES-GLB || SCATSAT-1 HH DES high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-GAML4-HHDES-GLB || SCATSAT-1 HH DES high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-BTL4-VVDES-GLB || SCATSAT-1 VV DES high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-GAML4-VVDES-GLB || SCATSAT-1 VV DES high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
3RIMG_L3B_OLR_WKL || Weekly OLR from INSAT-3DR
3RIMG_L3B_HEM_WKL || Weekly HEM from INSAT-
3RIMG_L3G_GPI_WKL || Weekly GPI from INSAT-3DR
3RIMG_L3G_IMR_WKL || Weekly IMR from INSAT-3DR
3RIMG_L3B_UTH_WKL || Weekly UTH from INSAT-3DR
3RIMG_L3B_SST_WKL || Weekly SST from INSAT-3DR
3RIMG_L2G_WDP || Wind Derived Product, Upper level divergence, lower level convergence, wind shear, mid-level wind shear, 24 hour wind shear tendency, vorticity(200,500,700,850mb) using INSAT-3DR AMVs.
INSAT3A-VHR-DAILYSST || Sea Surface Temperature derived from INSAT-3A IR channel data
INSAT3A-VHR-DAILYUTH || Upper Tropospheric Humidity derived from INSAT-3A IR Channel data
K1-VHR-DAILYIMR || INSAT Multi Chanel Rain; Rainfall estimate derived using Indian Multi-Spectral Rainfall algorithm (IMSRA)
KALPANA1-VHRR-DAILYUTH || Upper Tropospheric Humidity derived from IR Channel data
3DIMG_L3C_PET_DLY || Evapotranspiration (ET) is one of the important processes in the terrestrial water cycle. About 65% of rainwater is lost to the atmosphere due to the combined processes of evaporation and transpiration. In a given climate, reference evapotranspiration (ET0) is defined as the maximum evaporative demand of the atmosphere from a well-watered surface independent of crop type, crop development, and management practice. 
3DIMG_L2G_WDP || Wind Derived Product, Upper level divergence, lower level convergence, wind shear, mid-level wind shear, 24 hour wind shear tendency, vorticity(200,500,700,850mb) using INSAT-3D AMVs.
S1SCT-BTL4-VVBOTH-SP || SCATSAT1 VV BOTH high resolution sea ice product over Sorth Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm.
S1SCT-GAML4-VVBOTH-SP || SCATSAT1 VV BOTH high resolution sea ice product over Sorth Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm.
S1SCT-BTL4-HHBOTH-SP || SCATSAT1 HH BOTH high resolution sea ice product over Sorth Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm.
S1SCT-GAML4-HHBOTH-SP || SCATSAT1 HH BOTH high resolution sea ice product over Sorth Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm.
S1SCT-BTL4-HHASC-SP || SCATSAT1 HH ASC high resolution sea ice product over Sorth Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm.
S1SCT-GAML4-HHASC-SP || SCATSAT1 HH ASC high resolution sea ice product over Sorth Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm.
S1SCT-BTL4-VVASC-SP || SCATSAT1 VV ASC high resolution sea ice product over Sorth Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm.

S1SCT-GAML4-VVASC-SP || SCATSAT1 VV ASC high resolution sea ice product over Sorth Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm.

S1SCT-BTL4-HHBOTH-NP || SCATSAT1 HH DES high resolution sea ice product over North Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm
S1SCT-BTL4-VVBOTH-NP || SCATSAT1 HH DES high resolution sea ice product over North Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm
S1SCT-BTL4-HHDES-NP || SCATSAT1 VV DES high resolution sea ice product over North Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm
S1SCT-BTL4-VVDES-NP || SCATSAT1 VV DES high resolution sea ice product over North Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm
S1SCT-GAML4-HHBOTH-NP || SCATSAT1 HH BOTH high resolution sea ice product over North Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm
S1SCT-GAML4-VVBOTH-NP || SCATSAT1 VV BOTH high resolution sea ice product over North Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm
S1SCT-GAML4-HHDES-NP || SCATSAT1 HH DES high resolution sea ice product over North Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm
S1SCT-GAMGL4-VVDES-NP || SCATSAT1 VV DES high resolution sea ice product over North Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm
S1SCT-BTL4-HHBOTH-IND || SCATSAT-1 HH BOTH high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-BTL4-HHASC-IND || SCATSAT-1 HH ASC high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-BTL4-HHDES-IND || SCATSAT-1 HH DES high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-BTL4-VVBOTH-IND || SCATSAT-1 VV BOTH high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-BTL4-VVASC-IND || SCATSAT-1 VV ASC high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-BTL4-VVDES-IND || SCATSAT-1 VV DES high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-GAML4-HHBOTH-IND || SCATSAT-1 HH BOTH high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-GAML4-HHASC-IND || SCATSAT-1 HH ASC high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-GAML4-HHDES-IND || SCATSAT-1 HH DES high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-GAML4-VVBOTH-IND || SCATSAT-1 VV BOTH high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-GAML4-VVASC-IND || SCATSAT-1 VV ASC high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-GAML4-VVDES-IND || SCATSAT-1 VV DES high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-SIGL4-HHBOTH-GLB || SCATSAT-1 HH BOTH high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-SIGL4-VVBOTH-GLB || SCATSAT-1 VV BOTH high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-SIGL4-HHASC-GLB || SCATSAT-1 HH ASC high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-SIGL4-VVASC-GLB || SCATSAT-1 VV ASC high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-SIGL4-HHDES-GLB || SCATSAT-1 HH DES high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT-SIGL4-VVDES-GLB || SCATSAT-1 VV DES high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm
S1SCT_L4_HWV || This product is generated making use of Backscatter data L1B from SCATSAT-1
S1SCT_L4_AWV25 || Analyzed Winds are computed using optimal interpolation. The wind derived products and fluxes are computed based on COREv3.0 bulk algorithms.
S1SCT-SIGL350-VV || Scatterometer L3s Product contains flagged sigma0s in global grid
S1SCT-SIGL325-VV || Scatterometer L3s Product contains flagged sigma0s in global grid
S1SCT-SIGL350-HH || Scatterometer L3s Product contains flagged sigma0s in global grid
S1SCT-SIGL325-HH || Scatterometer L3s Product contains flagged sigma0s in global grid
S1SCT-WWL350 || Scatterometer L3w Product contains flagged wind vectors in global grid
S1SCT-WWL325 || Scatterometer L3w Product contains flagged wind vectors in global grid
S1SCT-SIGL2B50 || Scatterometer L2B Product contains flagged wind vectors in swath grid
S1SCT-SIGL2B25 || Scatterometer L2B Product contains flagged wind vectors in swath grid
S1SCT-SIGL2A50 || Scatterometer L2A Product contains flagged sigma0s in swath grid
S1SCT-SIGL2A25 || Scatterometer L2A Product contains flagged sigma0s in swath grid
S1SCT-SIGL1B || Scatterometer L1B Product contains time-ordered Earth-located sigma0s
S1SCT-SIGL4-VVBOTH-SP || SCATSAT1 VV BOTH high resolution sea ice product over Sorth Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm.
S1SCT-SIGL4-HHBOTH-SP || SCATSAT1 HH BOTH high resolution sea ice product over Sorth Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm.
S1SCT-SIGL4-HHASC-SP || SCATSAT1 HH ASC high resolution sea ice product over Sorth Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm.
S1SCT-SIGL4-VVASC-NP || SCATSAT1 VV ASC high resolution sea ice product over Sorth Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm.

S1SCT-SIGL4-VVBOTH-NP || SCATSAT1 VV BOTH high resolution sea ice product over North Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm
